target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
egernia-local,egernia,Q07,votable,32,2,17184,0.0,143.022,0.218493,0.277356,0.269581,28339.8,0.105,True
dachs-local,dachs,Q07,votable,32,2,1128,0.0,9.191,3.451607,3.812572,3.812077,29474.5,0.02,True
egernia-local,egernia,Q07,votable,32,3,17170,0.0,142.92,0.219218,0.27613,0.268371,28525.2,0.105,True
dachs-local,dachs,Q07,votable,32,3,1139,0.0,9.272,3.440857,3.744352,3.743865,29219.4,0.035,True
egernia-local,egernia,Q10,votable,1,1,3028,0.0,25.224,0.038524,0.047017,0.043959,396253.2,0.095,True
dachs-local,dachs,Q10,votable,1,1,1161,0.0,9.671,0.087326,0.262305,0.261161,354354.5,0.035,True
egernia-local,egernia,Q10,votable,1,2,3036,0.0,25.298,0.038359,0.046735,0.043761,396300.2,0.09,True
dachs-local,dachs,Q10,votable,1,2,1162,0.0,9.679,0.087242,0.26153,0.260504,354512.6,0.035,True
egernia-local,egernia,Q10,votable,1,3,3021,0.0,25.171,0.038506,0.047017,0.043907,396335.5,0.095,True
dachs-local,dachs,Q10,votable,1,3,1155,0.0,9.62,0.087652,0.262805,0.261774,354686.8,0.035,True
egernia-local,egernia,Q10,votable,4,1,5149,0.0,42.883,0.091599,0.117513,0.103607,396308.3,0.05,True
dachs-local,dachs,Q10,votable,4,1,1234,0.0,10.257,0.365596,0.549916,0.545803,354469.5,0.015,True
egernia-local,egernia,Q10,votable,4,2,5143,0.0,42.837,0.091652,0.116454,0.104243,396254.3,0.055,True
dachs-local,dachs,Q10,votable,4,2,1255,0.0,10.448,0.354631,0.544463,0.542687,354549.1,0.015,True
egernia-local,egernia,Q10,votable,4,3,5152,0.0,42.908,0.091689,0.116827,0.103766,396351.3,0.05,True
dachs-local,dachs,Q10,votable,4,3,1247,0.0,10.373,0.357938,0.547439,0.545346,354305.6,0.015,True
egernia-local,egernia,Q10,votable,8,1,5720,0.0,47.64,0.166906,0.217229,0.186916,396318.9,0.055,True
dachs-local,dachs,Q10,votable,8,1,1237,0.0,10.283,0.794005,0.952406,0.950735,354468.6,0.015,True
egernia-local,egernia,Q10,votable,8,2,5732,0.0,47.715,0.166879,0.217302,0.188408,396258.2,0.06,True
dachs-local,dachs,Q10,votable,8,2,1244,0.0,10.337,0.784369,0.957265,0.953957,354525.6,0.015,True
egernia-local,egernia,Q10,votable,8,3,5718,0.0,47.599,0.166998,0.215635,0.186036,396366.9,0.055,True
dachs-local,dachs,Q10,votable,8,3,1236,0.0,10.263,0.789267,0.96778,0.96558,354267.5,0.015,True
egernia-local,egernia,Q10,votable,16,1,5690,0.0,47.287,0.335346,0.425377,0.36577,396323.9,0.055,True
dachs-local,dachs,Q10,votable,16,1,1204,0.0,9.946,1.588573,1.955664,1.952599,354431.3,0.015,True
egernia-local,egernia,Q10,votable,16,2,5686,0.0,47.29,0.335564,0.425395,0.367878,396255.1,0.06,True
dachs-local,dachs,Q10,votable,16,2,1212,0.0,9.999,1.585244,1.92816,1.926594,354462.3,0.015,True
egernia-local,egernia,Q10,votable,16,3,5696,0.0,47.38,0.33447,0.423234,0.365696,396371.2,0.055,True
dachs-local,dachs,Q10,votable,16,3,1199,0.0,9.898,1.595934,1.986749,1.981157,354319.4,0.015,True
egernia-local,egernia,Q10,votable,32,1,5580,0.0,46.281,0.687703,0.807903,0.740503,396318.6,0.06,True
dachs-local,dachs,Q10,votable,32,1,1219,0.0,9.941,3.209381,3.491913,3.487349,354354.9,0.025,True
egernia-local,egernia,Q10,votable,32,2,5585,0.0,46.344,0.686507,0.803505,0.733815,396254.8,0.055,True
dachs-local,dachs,Q10,votable,32,2,1223,0.0,9.959,3.182082,3.466121,3.458109,354498.8,0.02,True
egernia-local,egernia,Q10,votable,32,3,5602,0.0,46.457,0.685807,0.801679,0.732517,396366.8,0.055,True
dachs-local,dachs,Q10,votable,32,3,1229,0.0,10.005,3.183539,3.425766,3.422154,354174.0,0.02,True
egernia-local,egernia,Q11,votable,1,1,517,0.0,4.304,0.225773,0.271941,0.252061,3957353.1,0.08,True
dachs-local,dachs,Q11,votable,1,1,439,0.0,3.652,0.25738,0.436837,0.411223,3496514.3,0.04,True
egernia-local,egernia,Q11,votable,1,2,514,0.0,4.28,0.227046,0.276556,0.256338,3954394.8,0.075,True
dachs-local,dachs,Q11,votable,1,2,439,0.0,3.658,0.256467,0.432496,0.407104,3493543.3,0.04,True
egernia-local,egernia,Q11,votable,1,3,518,0.0,4.312,0.22553,0.274511,0.255084,3956049.8,0.07,True
dachs-local,dachs,Q11,votable,1,3,440,0.0,3.661,0.256588,0.433147,0.406212,3495430.1,0.04,True
egernia-local,egernia,Q11,votable,4,1,722,0.0,6.008,0.663917,0.833291,0.742338,3955550.2,0.04,True
dachs-local,dachs,Q11,votable,4,1,516,0.0,4.274,0.939723,1.164281,1.082418,3496014.9,0.02,True
egernia-local,egernia,Q11,votable,4,2,721,0.0,5.974,0.667027,0.844657,0.7555,3956892.0,0.04,True
dachs-local,dachs,Q11,votable,4,2,516,0.0,4.292,0.938407,1.196625,1.090156,3496353.5,0.02,True
egernia-local,egernia,Q11,votable,4,3,736,0.0,6.128,0.647702,0.810885,0.702958,3957783.6,0.04,True
dachs-local,dachs,Q11,votable,4,3,518,0.0,4.31,0.931319,1.143914,1.073183,3498037.3,0.02,True
egernia-local,egernia,Q11,votable,8,1,767,0.0,6.344,1.257178,1.465769,1.060112,3955974.8,0.045,True
dachs-local,dachs,Q11,votable,8,1,505,0.0,4.203,2.034184,2.428372,2.212829,3495699.5,0.02,True
egernia-local,egernia,Q11,votable,8,2,759,0.0,6.309,1.262987,1.488177,1.141845,3956627.4,0.045,True
dachs-local,dachs,Q11,votable,8,2,515,0.0,4.243,2.000913,2.332148,2.203407,3496237.0,0.02,True
egernia-local,egernia,Q11,votable,8,3,763,0.0,6.332,1.268793,1.472343,1.084689,3958148.2,0.04,True
dachs-local,dachs,Q11,votable,8,3,515,0.0,4.235,2.016914,2.342999,2.20188,3497623.5,0.02,True
egernia-local,egernia,Q11,votable,16,1,763,0.0,6.237,2.556057,2.899278,2.128675,3955901.4,0.045,True
dachs-local,dachs,Q11,votable,16,1,538,0.0,4.466,3.828486,5.101457,4.314499,3495211.9,0.025,True
egernia-local,egernia,Q11,votable,16,2,761,0.0,6.261,2.555411,2.920698,2.114011,3956649.1,0.045,True
dachs-local,dachs,Q11,votable,16,2,552,0.0,4.506,3.730341,5.240267,4.491372,3496780.3,0.03,True
egernia-local,egernia,Q11,votable,16,3,757,0.0,6.235,2.557663,2.939899,2.16194,3958193.3,0.045,True
dachs-local,dachs,Q11,votable,16,3,537,0.0,4.47,3.787337,5.169191,4.532193,3497488.7,0.025,True
egernia-local,egernia,Q11,votable,32,1,768,0.0,6.215,5.145759,5.641428,4.679354,3955841.5,0.065,True
dachs-local,dachs,Q11,votable,32,1,551,0.0,4.433,7.378237,10.485333,9.040355,3495763.8,0.045,True
egernia-local,egernia,Q11,votable,32,2,769,0.0,6.226,5.131282,5.652729,4.691801,3956640.0,0.07,True
dachs-local,dachs,Q11,votable,32,2,546,0.0,4.491,7.321346,11.506483,8.809382,3496619.6,0.04,True
egernia-local,egernia,Q11,votable,32,3,769,0.0,6.195,5.164597,5.621854,4.64161,3958308.3,0.065,True
dachs-local,dachs,Q11,votable,32,3,561,0.0,4.503,7.319519,11.166742,8.957039,3497814.3,0.045,True
egernia-local,egernia,Q12,votable,1,1,13592,0.0,113.265,0.008291,0.011842,0.011284,1943.0,0.215,True
dachs-local,dachs,Q12,votable,1,1,215,0.0,1.789,0.544262,0.717389,0.716913,6302.7,0.01,True
egernia-local,egernia,Q12,votable,1,2,13560,0.0,112.995,0.008297,0.011865,0.01132,1943.0,0.22,True
dachs-local,dachs,Q12,votable,1,2,217,0.0,1.802,0.540079,0.711763,0.711279,6302.1,0.01,True
egernia-local,egernia,Q12,votable,1,3,13505,0.0,112.541,0.008353,0.011854,0.011277,1943.0,0.22,True
dachs-local,dachs,Q12,votable,1,3,216,0.0,1.798,0.541381,0.706623,0.706142,6302.6,0.01,True
egernia-local,egernia,Q12,votable,4,1,22228,0.0,185.213,0.020552,0.031058,0.02942,1943.0,0.115,True
dachs-local,dachs,Q12,votable,4,1,766,0.0,6.352,0.597071,0.800436,0.799747,6302.4,0.01,True
egernia-local,egernia,Q12,votable,4,2,22215,0.0,185.106,0.020573,0.031047,0.029485,1943.0,0.12,True
dachs-local,dachs,Q12,votable,4,2,753,0.0,6.248,0.6075,0.819751,0.819254,6302.2,0.01,True
egernia-local,egernia,Q12,votable,4,3,22278,0.0,185.628,0.020481,0.031126,0.029344,1943.0,0.13,True
dachs-local,dachs,Q12,votable,4,3,754,0.0,6.256,0.606682,0.820626,0.8201,6302.4,0.02,True
egernia-local,egernia,Q12,votable,8,1,22135,0.0,184.389,0.041715,0.061338,0.058267,1943.0,0.13,True
dachs-local,dachs,Q12,votable,8,1,1041,0.0,8.639,0.890229,1.287143,1.286644,6302.3,0.015,True
egernia-local,egernia,Q12,votable,8,2,21803,0.0,181.657,0.042232,0.06252,0.059514,1943.0,0.12,True
dachs-local,dachs,Q12,votable,8,2,1039,0.0,8.606,0.889585,1.268084,1.267586,6302.2,0.015,True
egernia-local,egernia,Q12,votable,8,3,21869,0.0,182.189,0.042146,0.062315,0.059206,1943.0,0.12,True
dachs-local,dachs,Q12,votable,8,3,1047,0.0,8.664,0.886374,1.276284,1.275782,6302.4,0.015,True
egernia-local,egernia,Q12,votable,16,1,20874,0.0,173.884,0.089301,0.122114,0.116515,1943.0,0.12,True
dachs-local,dachs,Q12,votable,16,1,1167,0.0,9.634,1.635066,2.031309,2.030889,6302.3,0.015,True
egernia-local,egernia,Q12,votable,16,2,20831,0.0,173.52,0.089507,0.12151,0.116036,1943.0,0.12,True
dachs-local,dachs,Q12,votable,16,2,1173,0.0,9.675,1.616195,2.027288,2.026705,6302.3,0.015,True
egernia-local,egernia,Q12,votable,16,3,20770,0.0,173.002,0.089729,0.122145,0.116622,1943.0,0.12,True
dachs-local,dachs,Q12,votable,16,3,1156,0.0,9.52,1.639512,2.072561,2.072074,6302.3,0.02,True
egernia-local,egernia,Q12,votable,32,1,19668,0.0,163.715,0.190145,0.241675,0.236201,1943.0,0.11,True
dachs-local,dachs,Q12,votable,32,1,1184,0.0,9.665,3.304525,3.603621,3.602549,6302.3,0.015,True
egernia-local,egernia,Q12,votable,32,2,19566,0.0,162.888,0.191666,0.242691,0.237324,1943.0,0.115,True
dachs-local,dachs,Q12,votable,32,2,1185,0.0,9.681,3.295325,3.627318,3.626805,6302.3,0.015,True
egernia-local,egernia,Q12,votable,32,3,19587,0.0,163.035,0.190698,0.245201,0.239033,1943.0,0.115,True
dachs-local,dachs,Q12,votable,32,3,1176,0.0,9.568,3.331978,3.676411,3.675902,6302.3,0.02,True
egernia-local,egernia,Q13,votable,1,1,12,0.0,0.095,9.629255,18.931288,18.930584,4622.2,0.005,True
dachs-local,dachs,Q13,votable,1,1,363,0.0,3.023,0.353401,0.50719,0.506701,5751.0,0.015,True
egernia-local,egernia,Q13,votable,1,2,11,0.0,0.091,10.846063,18.571014,18.570558,4629.1,0.005,True
dachs-local,dachs,Q13,votable,1,2,295,0.0,2.454,0.373564,0.71329,0.712816,5751.0,0.015,True
egernia-local,egernia,Q13,votable,1,3,11,0.0,0.088,11.043582,17.454211,17.453755,4630.2,0.005,True
dachs-local,dachs,Q13,votable,1,3,377,0.0,3.137,0.34653,0.484863,0.484404,5751.0,0.015,True
egernia-local,egernia,Q13,votable,4,1,59,0.0,0.467,8.09989,13.781081,13.778801,4628.0,0.01,True
dachs-local,dachs,Q13,votable,4,1,1082,0.0,8.991,0.454165,0.686184,0.685683,5751.0,0.01,True
egernia-local,egernia,Q13,votable,4,2,60,0.0,0.485,7.961228,13.791993,13.791542,4626.9,0.01,True
dachs-local,dachs,Q13,votable,4,2,1064,0.0,8.84,0.457694,0.699153,0.69867,5751.0,0.015,True
egernia-local,egernia,Q13,votable,4,3,64,0.0,0.49,7.527171,13.65045,13.649955,4626.3,0.01,True
dachs-local,dachs,Q13,votable,4,3,1105,0.0,9.185,0.449702,0.673073,0.672588,5751.0,0.015,True
egernia-local,egernia,Q13,votable,8,1,85,0.0,0.619,12.07509,21.60857,21.608113,4630.2,0.01,True
dachs-local,dachs,Q13,votable,8,1,1306,0.0,10.848,0.72393,1.084321,1.08382,5751.0,0.015,True
egernia-local,egernia,Q13,votable,8,2,91,0.0,0.717,10.563423,19.657968,19.657324,4626.9,0.01,True
dachs-local,dachs,Q13,votable,8,2,1309,0.0,10.868,0.718034,1.07083,1.070322,5751.0,0.015,True
egernia-local,egernia,Q13,votable,8,3,90,0.0,0.7,10.301769,19.923707,19.922928,4628.0,0.01,True
dachs-local,dachs,Q13,votable,8,3,1300,0.0,10.794,0.721683,1.102762,1.102305,5751.0,0.015,True
egernia-local,egernia,Q13,votable,16,1,202,0.569307,1.393,5.024725,24.062174,24.061282,2176.2,0.01,True
dachs-local,dachs,Q13,votable,16,1,1305,0.0,10.779,1.475269,1.920471,1.919979,5751.0,0.015,True
egernia-local,egernia,Q13,votable,16,2,212,0.575472,1.549,5.023869,26.969056,26.968451,2147.6,0.01,True
dachs-local,dachs,Q13,votable,16,2,1300,0.0,10.752,1.477707,1.920074,1.919525,5751.0,0.015,True
egernia-local,egernia,Q13,votable,16,3,204,0.529412,1.466,5.554471,21.731678,21.729721,2346.1,0.01,True
dachs-local,dachs,Q13,votable,16,3,1290,0.0,10.661,1.483321,1.929415,1.928851,5751.0,0.015,True
egernia-local,egernia,Q13,votable,32,1,547,0.817185,3.952,5.052581,18.322538,18.321867,1105.7,0.015,True
dachs-local,dachs,Q13,votable,32,1,1311,0.0,10.699,2.986645,3.328205,3.327641,5751.0,0.02,True
egernia-local,egernia,Q13,votable,32,2,541,0.83549,3.84,5.063048,19.635687,19.634177,1027.7,0.015,True
dachs-local,dachs,Q13,votable,32,2,1318,0.0,10.771,2.96062,3.297305,3.296656,5751.0,0.015,True
egernia-local,egernia,Q13,votable,32,3,528,0.808712,3.706,5.05737,18.731362,18.730777,1142.4,0.015,True
dachs-local,dachs,Q13,votable,32,3,1303,0.0,10.661,2.998947,3.338145,3.337436,5751.0,0.02,True
egernia-local,egernia,mix,csv,1,1,354,0.0,2.901,0.015557,2.062188,2.061746,37399.8,0.03,True
dachs-local,dachs,mix,csv,1,1,361,0.0,3.005,0.327875,0.591623,0.591132,36430.7,0.02,True
egernia-local,egernia,mix,csv,1,2,318,0.0,2.639,0.015403,2.066466,2.06598,39729.8,0.025,True
dachs-local,dachs,mix,csv,1,2,365,0.0,3.041,0.259173,0.587152,0.586663,39775.6,0.015,True
egernia-local,egernia,mix,csv,1,3,383,0.0,3.184,0.016171,2.048604,2.048163,49029.3,0.035,True
dachs-local,dachs,mix,csv,1,3,381,0.0,3.167,0.204822,0.578643,0.578153,47696.1,0.02,True
egernia-local,egernia,mix,csv,4,1,1041,0.0,8.608,0.020691,2.974305,2.973782,43847.8,0.035,True
dachs-local,dachs,mix,csv,4,1,1076,0.0,8.929,0.434294,0.850542,0.850041,42070.1,0.02,True
egernia-local,egernia,mix,csv,4,2,1066,0.0,8.757,0.019806,3.010056,3.009461,42745.7,0.03,True
dachs-local,dachs,mix,csv,4,2,1077,0.0,8.943,0.440711,0.843113,0.84258,42057.5,0.015,True
egernia-local,egernia,mix,csv,4,3,1149,0.0,9.382,0.020678,2.901246,2.900554,43565.5,0.04,True
dachs-local,dachs,mix,csv,4,3,1083,0.0,8.985,0.414847,0.862097,0.861614,41903.3,0.015,True
egernia-local,egernia,mix,csv,8,1,1630,0.0,13.344,0.038758,3.758516,3.756686,42950.8,0.045,True
dachs-local,dachs,mix,csv,8,1,1239,0.0,10.278,0.779188,1.223313,1.222714,43251.5,0.015,True
egernia-local,egernia,mix,csv,8,2,1563,0.0,12.72,0.03443,3.891531,3.891039,43181.3,0.05,True
dachs-local,dachs,mix,csv,8,2,1231,0.0,10.185,0.782871,1.227241,1.226669,41051.4,0.015,True
egernia-local,egernia,mix,csv,8,3,1509,0.0,12.303,0.032821,3.911668,3.910047,44224.4,0.065,True
dachs-local,dachs,mix,csv,8,3,1232,0.0,10.216,0.765152,1.277176,1.276687,43263.5,0.015,True
egernia-local,egernia,mix,csv,16,1,1541,0.0,12.541,0.549129,4.821147,4.820608,43426.2,0.04,True
dachs-local,dachs,mix,csv,16,1,1187,0.0,9.755,1.615398,2.212046,2.211472,42681.5,0.015,True
egernia-local,egernia,mix,csv,16,2,1545,0.0,12.451,0.41593,4.657888,4.656619,43134.0,0.035,True
dachs-local,dachs,mix,csv,16,2,1207,0.0,9.918,1.602561,2.129965,2.129414,40891.6,0.015,True
egernia-local,egernia,mix,csv,16,3,1532,0.0,12.505,0.246302,3.994986,3.991329,44413.7,0.045,True
dachs-local,dachs,mix,csv,16,3,1230,0.0,10.134,1.566935,2.069239,2.068774,43714.8,0.015,True
egernia-local,egernia,mix,csv,32,1,1621,0.001851,13.017,2.010757,6.613967,6.613348,42748.7,0.035,True
dachs-local,dachs,mix,csv,32,1,1231,0.0,10.016,3.176005,3.711841,3.711271,42996.9,0.02,True
egernia-local,egernia,mix,csv,32,2,1586,0.003153,12.787,2.16097,6.147309,6.146732,43098.7,0.035,True
dachs-local,dachs,mix,csv,32,2,1233,0.0,10.046,3.161481,3.709366,3.708758,41303.9,0.025,True
egernia-local,egernia,mix,csv,32,3,1464,0.0,11.789,2.203593,6.444156,6.440321,44465.0,0.04,True
dachs-local,dachs,mix,csv,32,3,1245,0.0,10.153,3.130231,3.677568,3.676992,44293.4,0.015,True
egernia-local,egernia,Q01,csv,1,1,19763,0.0,164.689,0.005617,0.008216,0.007671,1835.0,0.3,True
dachs-local,dachs,Q01,csv,1,1,2391,0.0,19.897,0.034561,0.203379,0.202917,978.0,0.05,True
egernia-local,egernia,Q01,csv,1,2,19775,0.0,164.79,0.005605,0.008188,0.007653,1835.0,0.295,True
dachs-local,dachs,Q01,csv,1,2,2384,0.0,19.864,0.034705,0.202982,0.202502,978.0,0.05,True
egernia-local,egernia,Q01,csv,1,3,19882,0.0,165.683,0.005568,0.008114,0.007553,1835.0,0.3,True
dachs-local,dachs,Q01,csv,1,3,2392,0.0,19.93,0.034635,0.202884,0.202413,978.0,0.05,True
egernia-local,egernia,Q01,csv,4,1,24306,0.0,202.538,0.018769,0.028469,0.026867,1835.0,0.13,True
dachs-local,dachs,Q01,csv,4,1,2037,0.0,16.954,0.201625,0.384402,0.383714,978.0,0.015,True
egernia-local,egernia,Q01,csv,4,2,24315,0.0,202.607,0.018738,0.028395,0.026789,1835.0,0.13,True
dachs-local,dachs,Q01,csv,4,2,2060,0.0,17.152,0.200014,0.37845,0.377948,978.0,0.015,True
egernia-local,egernia,Q01,csv,4,3,24332,0.0,202.744,0.018771,0.0283,0.026705,1835.0,0.13,True
dachs-local,dachs,Q01,csv,4,3,2034,0.0,16.932,0.204319,0.379896,0.379373,978.0,0.04,True
egernia-local,egernia,Q01,csv,8,1,23187,0.0,193.171,0.039787,0.058777,0.055679,1835.0,0.135,True
dachs-local,dachs,Q01,csv,8,1,1883,0.0,15.673,0.522095,0.639125,0.638645,978.0,0.04,True
egernia-local,egernia,Q01,csv,8,2,23168,0.0,193.038,0.03985,0.058536,0.05564,1835.0,0.13,True
dachs-local,dachs,Q01,csv,8,2,1958,0.0,16.273,0.515559,0.602431,0.601948,978.0,0.015,True
egernia-local,egernia,Q01,csv,8,3,23159,0.0,192.963,0.039849,0.058835,0.055754,1835.0,0.125,True
dachs-local,dachs,Q01,csv,8,3,1961,0.0,16.318,0.512414,0.611957,0.611479,978.0,0.02,True
egernia-local,egernia,Q01,csv,16,1,22377,0.0,186.32,0.08334,0.113045,0.107737,1835.0,0.115,True
dachs-local,dachs,Q01,csv,16,1,1798,0.0,14.925,1.066153,1.271683,1.271109,978.0,0.015,True
egernia-local,egernia,Q01,csv,16,2,22278,0.0,185.558,0.083766,0.113521,0.108164,1835.0,0.115,True
dachs-local,dachs,Q01,csv,16,2,1794,0.0,14.854,1.07401,1.275136,1.274535,978.0,0.015,True
egernia-local,egernia,Q01,csv,16,3,22279,0.0,185.586,0.083474,0.11419,0.108558,1835.0,0.115,True
dachs-local,dachs,Q01,csv,16,3,1801,0.0,14.913,1.064592,1.294356,1.293801,978.0,0.02,True
egernia-local,egernia,Q01,csv,32,1,21055,0.0,175.299,0.177485,0.22784,0.222304,1835.0,0.11,True
dachs-local,dachs,Q01,csv,32,1,1804,0.0,14.828,2.154923,2.311964,2.311332,978.0,0.02,True
egernia-local,egernia,Q01,csv,32,2,21052,0.0,175.291,0.177606,0.225528,0.220251,1835.0,0.115,True
dachs-local,dachs,Q01,csv,32,2,1826,0.0,15.049,2.13236,2.274686,2.274183,978.0,0.02,True
egernia-local,egernia,Q01,csv,32,3,21011,0.0,174.948,0.178015,0.224725,0.219182,1835.0,0.11,True
dachs-local,dachs,Q01,csv,32,3,1815,0.0,14.923,2.148209,2.303799,2.303209,978.0,0.02,True
egernia-local,egernia,Q02,csv,1,1,59,0.0,0.486,2.052734,2.116245,2.115742,38380.5,0.01,True
dachs-local,dachs,Q02,csv,1,1,648,0.0,5.393,0.169025,0.339917,0.339453,37444.1,0.02,True
egernia-local,egernia,Q02,csv,1,2,59,0.0,0.484,2.062261,2.130418,2.129809,38391.4,0.005,True
dachs-local,dachs,Q02,csv,1,2,648,0.0,5.399,0.169349,0.341685,0.341191,37440.6,0.02,True
egernia-local,egernia,Q02,csv,1,3,59,0.0,0.486,2.050093,2.10703,2.106553,38390.7,0.005,True
dachs-local,dachs,Q02,csv,1,3,649,0.0,5.403,0.169172,0.339152,0.338702,37413.5,0.02,True
egernia-local,egernia,Q02,csv,4,1,180,0.0,1.474,2.644609,3.326512,3.326008,38424.4,0.01,True
dachs-local,dachs,Q02,csv,4,1,1317,0.0,10.947,0.352715,0.539295,0.538814,37433.3,0.015,True
egernia-local,egernia,Q02,csv,4,2,172,0.0,1.406,2.820013,3.465215,3.464645,38384.0,0.01,True
dachs-local,dachs,Q02,csv,4,2,1330,0.0,11.069,0.349693,0.539624,0.539071,37428.3,0.015,True
egernia-local,egernia,Q02,csv,4,3,183,0.0,1.494,2.563596,3.295625,3.294925,38451.7,0.01,True
dachs-local,dachs,Q02,csv,4,3,1324,0.0,11.012,0.351306,0.528504,0.528007,37422.8,0.015,True
egernia-local,egernia,Q02,csv,8,1,280,0.0,2.271,3.526351,3.581018,3.5766,38393.1,0.01,True
dachs-local,dachs,Q02,csv,8,1,1292,0.0,10.729,0.746878,0.96874,0.968244,37435.4,0.015,True
egernia-local,egernia,Q02,csv,8,2,280,0.0,2.27,3.529332,3.59062,3.586473,38384.8,0.01,True
dachs-local,dachs,Q02,csv,8,2,1298,0.0,10.76,0.748378,0.94369,0.943116,37428.0,0.015,True
egernia-local,egernia,Q02,csv,8,3,272,0.0,2.261,3.53449,3.592603,3.589314,38418.7,0.01,True
dachs-local,dachs,Q02,csv,8,3,1290,0.0,10.718,0.742975,0.956101,0.955592,37419.2,0.015,True
egernia-local,egernia,Q02,csv,16,1,288,0.0,2.271,7.040087,7.132926,7.128853,38394.0,0.01,True
dachs-local,dachs,Q02,csv,16,1,1242,0.0,10.262,1.544344,1.864848,1.86437,37433.0,0.015,True
egernia-local,egernia,Q02,csv,16,2,288,0.0,2.268,7.062746,7.128914,7.128211,38380.7,0.01,True
dachs-local,dachs,Q02,csv,16,2,1251,0.0,10.339,1.542538,1.84042,1.839895,37426.4,0.015,True
egernia-local,egernia,Q02,csv,16,3,287,0.0,2.27,7.043616,7.13955,7.13514,38410.1,0.01,True
dachs-local,dachs,Q02,csv,16,3,1248,0.0,10.315,1.537962,1.855703,1.855137,37418.6,0.015,True
egernia-local,egernia,Q02,csv,32,1,624,0.538462,4.941,5.168554,8.761973,8.761288,17900.3,0.015,True
dachs-local,dachs,Q02,csv,32,1,1250,0.0,10.232,3.125246,3.381483,3.380945,37433.3,0.015,True
egernia-local,egernia,Q02,csv,32,2,617,0.541329,4.843,6.841513,8.887079,8.886614,17804.8,0.015,True
dachs-local,dachs,Q02,csv,32,2,1263,0.0,10.295,3.096752,3.353264,3.352665,37427.4,0.015,True
egernia-local,egernia,Q02,csv,32,3,621,0.541063,4.888,6.879146,9.120623,9.120276,17790.3,0.015,True
dachs-local,dachs,Q02,csv,32,3,1248,0.0,10.237,3.128461,3.399767,3.399257,37419.2,0.02,True
egernia-local,egernia,Q03,csv,1,1,2577,0.0,21.473,0.01366,0.243828,0.243294,25690.6,0.075,True
dachs-local,dachs,Q03,csv,1,1,1227,0.0,10.213,0.069014,0.245549,0.245088,25499.5,0.04,True
egernia-local,egernia,Q03,csv,1,2,2507,0.0,20.886,0.013798,0.243273,0.242845,25500.5,0.065,True
dachs-local,dachs,Q03,csv,1,2,1264,0.0,10.531,0.069034,0.243955,0.243489,24769.3,0.03,True
egernia-local,egernia,Q03,csv,1,3,2631,0.0,21.894,0.013703,0.244034,0.243486,25811.6,0.06,True
dachs-local,dachs,Q03,csv,1,3,1271,0.0,10.576,0.068467,0.244244,0.243763,24820.5,0.03,True
egernia-local,egernia,Q03,csv,4,1,7745,0.0,64.429,0.020025,0.319944,0.319036,25658.5,0.08,True
dachs-local,dachs,Q03,csv,4,1,1401,0.0,11.668,0.315918,0.519317,0.518862,25574.6,0.015,True
egernia-local,egernia,Q03,csv,4,2,7626,0.0,63.441,0.02018,0.32029,0.319668,25555.0,0.09,True
dachs-local,dachs,Q03,csv,4,2,1413,0.0,11.741,0.315103,0.511607,0.511087,25456.6,0.015,True
egernia-local,egernia,Q03,csv,4,3,7839,0.0,65.28,0.019482,0.318362,0.317335,25679.0,0.075,True
dachs-local,dachs,Q03,csv,4,3,1415,0.0,11.771,0.312521,0.519142,0.518627,25329.4,0.035,True
egernia-local,egernia,Q03,csv,8,1,11375,0.0,94.561,0.033097,0.398461,0.397364,25660.8,0.09,True
dachs-local,dachs,Q03,csv,8,1,1371,0.0,11.393,0.710034,0.875259,0.874662,25492.8,0.035,True
egernia-local,egernia,Q03,csv,8,2,11423,0.0,95.02,0.033012,0.399189,0.397996,25671.2,0.095,True
dachs-local,dachs,Q03,csv,8,2,1368,0.0,11.369,0.715632,0.886155,0.885556,25407.4,0.015,True
egernia-local,egernia,Q03,csv,8,3,11406,0.0,94.823,0.033043,0.399007,0.397266,25661.1,0.085,True
dachs-local,dachs,Q03,csv,8,3,1376,0.0,11.435,0.71386,0.866843,0.86622,25416.7,0.015,True
egernia-local,egernia,Q03,csv,16,1,11293,0.0,93.798,0.110735,0.499701,0.497579,25679.1,0.075,True
dachs-local,dachs,Q03,csv,16,1,1310,0.0,10.83,1.472823,1.766575,1.766035,25510.6,0.015,True
egernia-local,egernia,Q03,csv,16,2,11359,0.0,94.456,0.110811,0.499858,0.497695,25667.3,0.07,True
dachs-local,dachs,Q03,csv,16,2,1317,0.0,10.894,1.464534,1.769815,1.769348,25602.5,0.015,True
egernia-local,egernia,Q03,csv,16,3,11320,0.0,94.006,0.11109,0.495957,0.494427,25680.7,0.08,True
dachs-local,dachs,Q03,csv,16,3,1314,0.0,10.857,1.469383,1.728257,1.727778,25319.0,0.015,True
egernia-local,egernia,Q03,csv,32,1,11056,0.0,91.754,0.294876,0.690283,0.688105,25672.7,0.07,True
dachs-local,dachs,Q03,csv,32,1,1331,0.0,10.865,2.939584,3.158116,3.157625,25527.0,0.02,True
egernia-local,egernia,Q03,csv,32,2,11016,0.0,91.458,0.291854,0.688263,0.686036,25650.5,0.07,True
