key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D1-c1-r0,concurrency,D1,2.155,closed,csv,1,1,,0,15295,15295,84.96705852802677,84.96705852802677,0.0,0.0,0.011740204323650662,0.010812847875058651,0.02287562591955064,0.027141132643446305,0.03146113309823078,0.12834929814562201,0.3991608312583098,0.014998698979616166,2636748.751587279,0.7562406906643274,0.12218814853207627,0.0,0.9854492966617678,MEMORY_BOUND,False
conc-D1-c1-r1,concurrency,D1,2.155,closed,csv,1,1,,1,15313,15313,85.06898487275922,85.06898487275922,0.0,0.0,0.011725210161855452,0.010830928105860949,0.02081730477511881,0.027272931206971406,0.03135421925410652,0.13679059501737356,0.3901252346181998,0.01497033545747399,2602676.775850912,0.7564006390758903,0.12011356821243935,0.0,0.9998582696013142,UNKNOWN,False
conc-D1-c1-r2,concurrency,D1,2.155,closed,csv,1,1,,2,15253,15253,84.73596983339597,84.73596983339597,0.0,0.0,0.011771755896908992,0.01080390764400363,0.023026299942284823,0.027433766312897193,0.03232448756136009,0.13632360706105828,0.40447905232487025,0.01500349985435605,2671484.270477599,0.752230157512108,0.12027319267703385,0.0,0.9999757607656827,UNKNOWN,False
conc-D1-c2-r0,concurrency,D1,2.155,closed,csv,2,1,,0,17407,17407,96.70004679850372,96.70004679850372,0.0,0.0,0.020652718840692003,0.019353623036295176,0.032820795523002745,0.041215307302772924,0.11761842959840617,0.1509981187991798,0.3309719356356858,0.026060196477919816,2997070.6533552143,0.9501650633744921,0.14326092523813846,0.0,0.9999990835491575,TAP_CPU_BOUND,False
conc-D1-c2-r1,concurrency,D1,2.155,closed,csv,2,1,,1,17464,17464,97.01754993187325,97.01754993187325,0.0,0.0,0.020584794760421875,0.019344663014635444,0.0326980911195278,0.04043680393137037,0.09973859577440693,0.1490010409615934,0.3199277841190766,0.02584764764178544,2965114.8134694854,0.942898095010792,0.1441902584472642,0.0,0.9999987708732607,TAP_CPU_BOUND,False
conc-D1-c2-r2,concurrency,D1,2.155,closed,csv,2,1,,2,17168,17168,95.36950372259639,95.36950372259639,0.0,0.0,0.020940388607309103,0.019611185416579247,0.03360568375792354,0.041367851216345966,0.10621999104380848,0.14897027099505067,0.3268784837914338,0.026435092370957137,2998772.6273131673,0.9561263580658843,0.14584125447713597,0.0,1.0,TAP_CPU_BOUND,False
conc-D1-c4-r0,concurrency,D1,2.155,closed,csv,4,1,,0,17678,17678,98.20607654785222,98.20607654785222,0.0,0.0,0.040700178613996024,0.03847303194925189,0.06228239769116041,0.08009143711067736,0.15367339351633588,0.1796192261390388,0.3103207693221779,0.051753269042819704,3034714.23559757,1.0405651461888643,0.15727006102106325,0.0,1.0,TAP_CPU_BOUND,False
conc-D1-c4-r1,concurrency,D1,2.155,closed,csv,4,1,,1,17704,17704,98.34806652288384,98.34806652288384,0.0,0.0,0.0406419581462359,0.038418535608798265,0.06253595489542929,0.07973671052139258,0.1441975536141546,0.17523082112893462,0.3087297665130355,0.05191523218527436,3001753.560623116,1.0263737987869144,0.15293840738596615,0.0,1.0,TAP_CPU_BOUND,False
conc-D1-c4-r2,concurrency,D1,2.155,closed,csv,4,1,,2,17639,17639,97.99349017654555,97.99349017654555,0.0,0.0,0.04078912154926986,0.03851132886484265,0.06252186992205679,0.07928798537701368,0.15060986043512833,0.19584804493933916,0.3097544673349247,0.051893632439896455,3073887.7440302027,1.0392673696706707,0.1564724073340148,0.0,1.0,TAP_CPU_BOUND,False
sat-D1-c4-r0,saturation,D1,2.155,closed,csv,4,1,,0,29400,29400,97.9948493740096,97.9948493740096,0.0,0.0,0.04078798288604574,0.038594241021201015,0.06264006257988511,0.08007024975027882,0.15092785830469835,0.18329225620254874,0.3112415318353764,0.052036511106416584,3037863.5160423336,1.0444839341967003,0.15709136524243317,0.0,0.999998396140794,TAP_CPU_BOUND,False
sat-D1-c4-r1,saturation,D1,2.155,closed,csv,4,1,,1,29428,29428,98.08556594361235,98.08556594361235,0.0,0.0,0.04075054043573673,0.0385080655105412,0.06285225832834838,0.07935427162796257,0.15104290060279937,0.18569350894540548,0.31112160300376257,0.0521203581476584,3047200.7123696334,1.051972919276012,0.15707112602836676,0.0,0.9999998001101793,TAP_CPU_BOUND,False
sat-D1-c4-r2,saturation,D1,2.155,closed,csv,4,1,,2,29461,29461,98.19593873645864,98.19593873645864,0.0,0.0,0.04070545674729806,0.03849011193960905,0.0625050263479352,0.07954983720555908,0.14756804745644486,0.1895104618743062,0.31013769182883477,0.051800940185785294,3069389.23781961,1.0473989477976267,0.15826810329490518,0.0,1.0,TAP_CPU_BOUND,False
sat-D1-c4-r3,saturation,D1,2.155,closed,csv,4,1,,3,29526,29526,98.41015242455623,98.41015242455623,0.0,0.0,0.0406156851847159,0.03835857636295259,0.06285814067814499,0.08014100894797593,0.1474796174443329,0.18010469479486346,0.3125747800982396,0.05175232561305165,3067806.634830898,1.0461343466836588,0.15751511777085184,0.0,1.0,TAP_CPU_BOUND,False
sat-D1-c4-r4,saturation,D1,2.155,closed,csv,4,1,,4,29508,29508,98.35366312835735,98.35366312835735,0.0,0.0,0.04063969213745037,0.03843209566548467,0.06283851603511718,0.0800558695336804,0.1501901193936357,0.1973071121610701,0.3110704568651451,0.05198019719682634,3069497.2673369087,1.0440169520051583,0.15638043633296397,0.0,1.0,TAP_CPU_BOUND,False
stress-D1-Q09,stress,D1,2.155,closed,csv,4,1,,0,1930,1930,32.1248472677094,32.1248472677094,0.0,0.0,0.12443700737869995,0.12068690755404532,0.1530633471440524,0.17287029562518003,0.26803252259688537,0.2735701431520283,0.13306754673086227,0.1504809552570805,1671648.5524225263,0.4117199222071394,3.0971958370688775,16465.3882110617,0.999929098839394,UNKNOWN,False
