key,kind,dataset,database_gib,mode,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D1-c1-r0,concurrency,D1,25.455,closed,1,1,,0,855,855,42.75,42.75,0.0,0.0,0.023345306859765616,0.009595457988325506,0.08039674099418331,0.13656919165165168,0.30276146526525927,0.5202599999902304,1.421622720572628,0.07566142478608524,1852880.55,0.2087299837022226,0.5911948946214673,21427835.913934506,0.5022828309354542,DATABASE_IO_BOUND,False
conc-D1-c2-r0,concurrency,D1,25.455,closed,2,1,,0,1740,1740,87.0,87.0,0.0,0.0,0.022972461053614515,0.013201645997469313,0.06771189579449127,0.12159343650826411,0.26567845750088026,0.29747183399740607,1.1171966633176984,0.06452540035825223,3641407.65,0.5722327548520103,0.9478619380008129,15594551.228892464,0.7536402045675616,DATABASE_IO_BOUND,False
conc-D1-c4-r0,concurrency,D1,25.455,closed,4,1,,0,2759,2759,137.95,137.95,0.0,0.0,0.028966167991690273,0.024283082981128246,0.05674626311520113,0.08298710170376615,0.23721345017175222,0.2543936670117546,0.6129110737710792,0.050602624696330145,6023371.15,0.8914504308517357,0.9414134394934764,7653391.391249665,0.7278805163873595,DATABASE_IO_BOUND,False
