target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
dachs-local,dachs,Q01,votable,8,3,1803,0.0,14.988,0.574213,0.662479,0.661926,4706.0,0.015,True
egernia-local,egernia,Q01,votable,16,1,21989,0.0,183.138,0.084875,0.114978,0.109958,2682.0,0.115,True
dachs-local,dachs,Q01,votable,16,1,1647,0.0,13.636,1.154569,1.39522,1.394741,4706.0,0.015,True
egernia-local,egernia,Q01,votable,16,2,21877,0.0,182.215,0.085156,0.115834,0.110443,2682.0,0.115,True
dachs-local,dachs,Q01,votable,16,2,1619,0.0,13.411,1.187944,1.414652,1.414072,4706.0,0.015,True
egernia-local,egernia,Q01,votable,16,3,21827,0.0,181.822,0.085375,0.116175,0.110677,2682.0,0.12,True
dachs-local,dachs,Q01,votable,16,3,1625,0.0,13.47,1.181997,1.412605,1.412078,4706.0,0.015,True
egernia-local,egernia,Q01,votable,32,1,20618,0.0,171.659,0.181036,0.23411,0.228224,2682.0,0.11,True
dachs-local,dachs,Q01,votable,32,1,1566,0.0,12.854,2.421501,2.920599,2.920101,4706.0,0.02,True
egernia-local,egernia,Q01,votable,32,2,20615,0.0,171.56,0.181303,0.232515,0.226702,2682.0,0.11,True
dachs-local,dachs,Q01,votable,32,2,1613,0.0,13.264,2.419458,2.587716,2.587081,4706.0,0.02,True
egernia-local,egernia,Q01,votable,32,3,20558,0.0,171.116,0.181605,0.23276,0.227095,2682.0,0.11,True
dachs-local,dachs,Q01,votable,32,3,1610,0.0,13.213,2.419577,2.601582,2.601094,4706.0,0.02,True
egernia-local,egernia,Q02,votable,1,1,7583,0.0,63.186,0.014821,0.023752,0.023148,52519.6,0.13,True
dachs-local,dachs,Q02,votable,1,1,618,0.0,5.148,0.171797,0.412107,0.411639,50915.4,0.02,True
egernia-local,egernia,Q02,votable,1,2,7531,0.0,62.757,0.014931,0.023475,0.022842,52526.8,0.135,True
dachs-local,dachs,Q02,votable,1,2,617,0.0,5.134,0.172629,0.410565,0.410086,50905.3,0.02,True
egernia-local,egernia,Q02,votable,1,3,7532,0.0,62.759,0.014903,0.023825,0.023302,52515.9,0.14,True
