key,kind,dataset,database_gib,mode,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D2-c1-r0,concurrency,D2,25.284,closed,1,1,,0,2265,2265,113.23315124280676,113.23315124280676,0.0,0.0,0.008802011393310778,0.006433041009586304,0.018924316595075617,0.028142324998043478,0.053765068088428805,0.1643769579823129,0.7337311379833348,0.016813425009604536,4803331.8284647595,0.48590001823552126,0.38446365646405734,33072990.23172824,0.6077002253691681,MEMORY_BOUND,False
conc-D2-c2-r0,concurrency,D2,25.284,closed,2,1,,0,3526,3526,176.18561576819002,176.18561576819002,0.0,0.0,0.011328842501006204,0.009910082997521386,0.02005028099665651,0.025603854250221048,0.07393579983909151,0.07610050000948831,0.4640189309834385,0.017041958490153775,7446772.014138341,0.8047657658682319,0.3518404760854231,535082.3020076072,0.697624501547007,MEMORY_BOUND,False
conc-D2-c4-r0,concurrency,D2,25.284,closed,4,1,,0,3833,3833,191.51111884245225,191.51111884245225,0.0,0.0,0.02085746727522573,0.01931554198381491,0.03447906700894236,0.04253816045471464,0.07795794487348985,0.0948359580070246,0.3690722476612879,0.02866841640206985,8115392.482033402,0.9976098319710088,0.3989595745925167,65675.7714172432,0.7156999973529461,TAP_CPU_BOUND,False
