key,kind,dataset,database_gib,mode,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D1-c1-r0,concurrency,D1,2.058,closed,1,1,,0,31906,31906,177.25555555555556,177.25555555555556,0.0,0.0,0.005618055956321608,0.005123896000441164,0.01170370801264653,0.013520423257432414,0.016758249620907457,0.05649279200588353,0.4040800939815299,0.007318781514186412,5313848.055555556,0.6234817477255042,0.1059985879244707,5079.987135354903,1.0,UNKNOWN,False
conc-D1-c1-r1,concurrency,D1,2.058,closed,1,1,,1,31919,31919,177.32777777777778,177.32777777777778,0.0,0.0,0.00561495170459605,0.005127499985974282,0.011668591003399342,0.013524237007368356,0.01603084073611593,0.05751474999124184,0.3946829796562872,0.007335999983479269,5247743.183333334,0.6285756809977734,0.10378239732411605,211.9843956999956,1.0,UNKNOWN,False
conc-D1-c1-r2,concurrency,D1,2.058,closed,1,1,,2,31745,31745,176.36111111111111,176.36111111111111,0.0,0.0,0.005645458704278848,0.005151042016223073,0.01178985020960681,0.01355708452407271,0.016871479501250525,0.05023370802518912,0.39406873156609085,0.007362024986650794,5318529.755555555,0.6249076791869255,0.10214098531896089,0.0,1.0,UNKNOWN,False
conc-D1-c2-r0,concurrency,D1,2.058,closed,2,1,,0,40283,40283,223.79444444444445,223.79444444444445,0.0,0.0,0.008917177799452369,0.00823083400609903,0.015383295522769914,0.018938371933763846,0.03899854503234944,0.05170516701764427,0.34554593912433224,0.011758308112621308,6692412.244444445,0.8366765776073846,0.1363299552802317,0.0,1.0,UNKNOWN,False
conc-D1-c2-r1,concurrency,D1,2.058,closed,2,1,,1,41079,41079,228.21666666666667,228.21666666666667,0.0,0.0,0.008744550315368228,0.008046833012485877,0.015077791694784534,0.01858490050246474,0.039565384026210654,0.0626422920031473,0.3499016050791068,0.011497987480834125,6833521.833333333,0.845114911926026,0.14106764763574817,0.0,1.0,UNKNOWN,False
conc-D1-c2-r2,concurrency,D1,2.058,closed,2,1,,2,40089,40089,222.71666666666667,222.71666666666667,0.0,0.0,0.008961217980516118,0.008251709019532427,0.015503991383593527,0.019081479983869942,0.04203095767973289,0.060297290998278186,0.3532663449274736,0.0118835918023251,6744167.95,0.8489018976914947,0.1430622884332872,0.0,1.0,UNKNOWN,False
conc-D1-c4-r0,concurrency,D1,2.058,closed,4,1,,0,40172,40172,223.17777777777778,223.17777777777778,0.0,0.0,0.017901862361622053,0.016554436995647848,0.028854403649165757,0.038443328932626177,0.09900841819228205,0.6951307090057526,0.5061679683288295,0.02311340812884737,6666795.072222223,1.036353094029517,0.173262864022445,0.0,1.0,TAP_CPU_BOUND,False
conc-D1-c4-r1,concurrency,D1,2.058,closed,4,1,,1,41519,41519,230.6611111111111,230.6611111111111,0.0,0.0,0.01731908753630223,0.01632749999407679,0.027694946090923617,0.035214861170970835,0.05462095424224424,0.07360900001367554,0.31596930538459533,0.022154995586606673,6897255.505555555,1.0324667047890144,0.1576070160546338,0.0,1.0,TAP_CPU_BOUND,False
conc-D1-c4-r2,concurrency,D1,2.058,closed,4,1,,2,41432,41432,230.17777777777778,230.17777777777778,0.0,0.0,0.01735448445334173,0.01638254150748253,0.027760943741304785,0.03555874528712598,0.05541786878308651,0.07897762500215322,0.32013586183381987,0.02230293127067852,6963280.333333333,1.0277105635409574,0.1601481532736741,0.0,1.0,TAP_CPU_BOUND,False
sat-D1-c4-r0,saturation,D1,2.058,closed,4,1,,0,64716,64716,215.72,215.72,0.0,0.0,0.01851918692574662,0.017290708507061936,0.02998001100786496,0.039005417011503576,0.06973130168160456,0.3214277919905726,0.3629771170826758,0.024123728762788232,6411333.456666667,1.0249339200019116,0.1663585398152707,0.0,1.0,TAP_CPU_BOUND,False
sat-D1-c4-r1,saturation,D1,2.058,closed,4,1,,1,65834,65834,219.44666666666666,219.44666666666666,0.0,0.0,0.018207599822516473,0.01700329198502004,0.0294416125951102,0.03779280727612781,0.05960658825453722,0.12911666699801572,0.3293073245528595,0.0237556831096299,6559402.72,1.0530972826537779,0.1638850464085774,0.0,1.0,TAP_CPU_BOUND,False
sat-D1-c4-r2,saturation,D1,2.058,closed,4,1,,2,68665,68665,228.88333333333333,228.88333333333333,0.0,0.0,0.017457437595639443,0.01629383399267681,0.02822702459525312,0.03615359511459247,0.05904660022980689,0.10018145901267417,0.32644060370157507,0.02274705001618711,6946269.923333333,1.0610310860170875,0.16537633144509986,0.0,1.0,TAP_CPU_BOUND,False
sat-D1-c4-r3,saturation,D1,2.058,closed,4,1,,3,64588,64588,215.29333333333332,215.29333333333332,0.0,0.0,0.01855590819791935,0.017341770479106344,0.030195564900350285,0.03919848298741271,0.06369206121034282,0.12378079199697822,0.34128110784885496,0.024297953936911646,6424577.88,1.038388800063328,0.1666749716135585,0.0,1.0,TAP_CPU_BOUND,False
sat-D1-c4-r4,saturation,D1,2.058,closed,4,1,,4,66190,66190,220.63333333333333,220.63333333333333,0.0,0.0,0.018104079447363915,0.017028812479111366,0.029039773090335064,0.037277400996244985,0.05857105545708342,0.07644941701437347,0.32224144017418577,0.023254410600929986,6669198.08,1.012820245680053,0.1559404011714458,0.0,1.0,TAP_CPU_BOUND,False
stress-D1-Q09,stress,D1,2.058,closed,4,1,,0,9549,9549,159.15,159.15,0.0,0.0,0.025109414185792888,0.02442775000235997,0.03282024199143052,0.0437112950137817,0.06595020699128554,0.0714227499847766,0.20779340446966438,0.028875666786916557,8281529.4,0.8722726149439013,0.5356018892541929,0.0,1.0,TAP_CPU_BOUND,False
stress-D1-Q11,stress,D1,2.058,closed,4,1,,0,765,765,12.75,12.75,0.0,0.0,0.31409351872919383,0.31372016700333916,0.3523106079897843,0.3705363561306149,0.3910493426704798,0.4050447079935111,0.07369993108482165,0.08729895879514515,33708979.11666667,1.0350217226939116,0.15527517773501745,0.0,1.0,SERIALIZATION_BOUND,False
stress-D1-Q13,stress,D1,2.058,closed,4,1,,0,669,669,11.15,11.15,0.0,0.0,0.3594700526965536,0.35963158300728537,0.3934173586021643,0.4052048351045232,0.41534707700344753,0.4166862500132993,0.06197225663008031,0.3891790167952422,17950.233333333334,0.041737496794000274,3.6807674556110648,1315.427095878224,1.0,DATABASE_CPU_BOUND,False
stress-D1-Q14,stress,D1,2.058,closed,4,1,,0,5484,5484,91.4,91.4,0.0,0.0,0.04374274716473484,0.04236481249972712,0.05703231874358607,0.07134409424994374,0.0916455845897734,0.09566579197417013,0.16925606919090608,0.046235608849383415,16220421.666666666,0.8827050145479787,1.3180268567515334,5818.660672781489,1.0,TAP_CPU_BOUND,False
conc-D2-c1-r0,concurrency,D2,10.258,closed,1,1,,0,26097,26097,144.98333333333332,144.98333333333332,0.0,0.0,0.006860446570795703,0.006064291985239834,0.012810724787414065,0.01523153136484325,0.0256298430752953,0.06745191701338626,0.4405879800397339,0.009036933188326655,5757989.794444445,0.5553604491078199,0.13232269526452836,739956.7561363382,0.9959785522788204,UNKNOWN,False
conc-D2-c1-r1,concurrency,D2,10.258,closed,1,1,,1,25728,25728,142.93333333333334,142.93333333333334,0.0,0.0,0.006957583060998173,0.006146104497020133,0.012860020402877126,0.015499491233495062,0.027354841955850237,0.07301991700660437,0.43247789672709597,0.009090149444818958,5633558.038888888,0.5538839883420593,0.1347773295334102,28665.67578623602,1.0,UNKNOWN,False
