key,kind,dataset,database_gib,mode,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D2-c1-r0,concurrency,D2,25.369,closed,1,1,,0,1569,1569,78.44019662116317,78.44019662116317,0.0,0.0,0.012702763305006191,0.008275208005215973,0.03425430019269697,0.04934913213481188,0.07850776387308951,0.10639683299814351,0.8209990740659789,0.031619450409198176,3263109.829734052,0.39080400050461067,0.5642347388442605,22808257.234362833,0.5627339236063181,DATABASE_IO_BOUND,False
conc-D2-c2-r0,concurrency,D2,25.369,closed,2,1,,0,2764,2764,138.11255810307438,138.11255810307438,0.0,0.0,0.014439169194171689,0.012078646497684531,0.0280166187978466,0.03946622980729431,0.10676907620954618,0.16279895801562816,0.607525700675172,0.024903302702296057,6012804.170196067,0.7271481974947214,0.5618543171644894,7088.575641570049,0.7168670159263737,DATABASE_IO_BOUND,False
conc-D2-c4-r0,concurrency,D2,25.369,closed,4,1,,0,3547,3547,177.16988400366645,177.16988400366645,0.0,0.0,0.022537431097269432,0.020469582988880575,0.03856123388395644,0.05836723230429925,0.09205467393389019,0.12131704101921059,0.4251789790911086,0.03248465007636696,7532164.535042561,0.8985977014073735,0.45787537501368075,31504.80263258165,0.7098345491789184,TAP_CPU_BOUND,False
