key,kind,dataset,database_gib,mode,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
repl-D2-n1-x0.5,fixed_replicas,D2,25.284,open,,1,115.35,0,27538,27538,114.6829089235152,114.6829089235152,0.0,0.0,0.01972484903803432,0.014279979499406181,0.05165229808917496,0.09672736001579348,0.16909152738578423,0.32104720899951644,0.9336507494572577,0.04489131873269795,4887949.277782196,0.5417935610860856,0.23751933901843789,47113533.75545889,0.6930513790055186,DATABASE_IO_BOUND,False
repl-D2-n1-x1.0,fixed_replicas,D2,25.284,open,,1,230.7,0,4194,56,1.434812311825862,0.019158199681032016,0.9866475917978064,0.45660467334287075,1442.1730526188512,1372.6758982290048,1799.0869662415498,1799.7918708689278,1800.3401623748002,1800.5425426660222,0.2654750948691674,924.4509891817027,1022.6209088027895,0.005790748819246828,0.003026733113503857,1910.7244328059505,0.8262131895479055,CONNECTION_POOL_BOUND,True
repl-D2-n1-x2.0,fixed_replicas,D2,25.284,open,,1,461.4,0,8707,10,10.28534322987661,0.011812729102878845,0.9988514987940738,0.019869070862524405,214.81939317856242,118.23399108299054,606.0268904456052,665.4715971260233,722.4175413385623,838.1771566249954,0.7352037427041009,457.8335048580193,2226.2292892743676,0.01632967700101822,0.0034410845070368162,0.0,0.8862502012558364,CONNECTION_POOL_BOUND,True
repl-D2-n1-x4.0,fixed_replicas,D2,25.284,open,,1,922.8,0,13780,14,16.417211000341045,0.016679314514134586,0.9989840348330914,0.09687953555878084,153.0722977336007,17.536242083486286,601.5118873774015,612.5541942693226,616.5255774726081,744.5588561669865,1.3556936210506096,453.107531970508,1659.4083216967358,0.023746168836712635,0.003911454708796181,209.9192838703102,0.8324497058609921,CONNECTION_POOL_BOUND,True
repl-D2-n1-x6.0,fixed_replicas,D2,25.284,open,,1,1384.1999999999998,0,26759,44,31.839443892851666,0.05235380736520323,0.9983556934115625,0.0894278560484323,71.93973283204399,15.238500999985263,607.1019309160765,610.768727129643,631.0772178109167,638.8931412499805,2.3609804696607593,0.0,4054.177704324383,0.013034534381910028,0.004066633313399239,0.0,0.811955090008154,CONNECTION_POOL_BOUND,True
repl-D2-n1-x8.0,fixed_replicas,D2,25.284,open,,1,1845.6,0,25904,7,30.76137319618293,0.008312600848258203,0.9997297714638665,0.10967418159357628,89.93499135341266,16.426510021003196,601.6988315857059,612.6203355542659,701.6353600634258,742.1435707499913,2.063931696276485,12.852011181348635,843.5092959329322,0.01522018744328041,0.003610117670255623,0.0,0.7691923515981736,CONNECTION_POOL_BOUND,True
repl-D2-n2-x0.5,fixed_replicas,D2,25.284,open,,2,115.35,0,27538,27537,114.65866521332832,114.65450156073142,3.631345776744862e-05,0.0,0.0163756021544184,0.012837812508223578,0.03636498745327116,0.05611014896276177,0.17069714845270223,5.0818540830223355,2.7412195050758656,0.02997150262526701,4848985.713147539,0.5102175525224062,0.15392660177387832,203017.4327314626,0.7032539101651384,CONNECTION_POOL_BOUND,False
repl-D2-n2-x1.0,fixed_replicas,D2,25.284,open,,2,230.7,0,55049,55049,229.25226806101,229.25226806101,0.0,0.0,0.014816950444132657,0.01196624999283813,0.03310915020992979,0.054122425161767726,0.09360270602279519,0.2524669160193298,0.7027534152120256,0.02708947479841299,9629803.033922082,1.0933559911359674,0.27950423632139415,34016.79347078694,0.7022938273821042,DATABASE_IO_BOUND,False
repl-D2-n2-x2.0,fixed_replicas,D2,25.284,open,,2,461.4,0,15211,93,19.2137778490818,0.11747296955917476,0.9938860035500624,0.035500624548024454,87.82478164447323,49.59834658302134,309.2348416249879,622.8659349875059,728.8229085012459,763.1594354999834,1.436269141711597,118.09950472950004,8129.27854521971,0.019424082018697726,0.00408413238510509,0.0,0.776753375041159,CONNECTION_POOL_BOUND,True
repl-D2-n2-x4.0,fixed_replicas,D2,25.284,open,,2,922.8,0,12171,26,15.41313988868805,0.03292594175547525,0.9978637745460521,0.19957275490921042,173.23373627047613,15.135734415991465,603.8211335210071,604.4334351787169,627.7740651608241,642.8644943749823,1.4300214738046517,449.06391524999344,2588.1119921297523,0.023996520146529716,0.00445010638784223,0.0,0.8274100807438218,CONNECTION_POOL_BOUND,True
repl-D2-n2-x6.0,fixed_replicas,D2,25.284,open,,2,1384.1999999999998,0,7897,88,9.37913964851459,0.10451618197660933,0.9888565277953654,0.015702165379257945,163.9571823427184,148.53141533298185,277.65059694219383,743.7498589916539,835.5363071980163,841.8013741250033,0.7659539110658447,239.65572399981315,6226.821145498645,0.02386629350115575,0.003945456187522886,0.0,0.8482051934826884,CONNECTION_POOL_BOUND,True
repl-D2-n2-x8.0,fixed_replicas,D2,25.284,open,,2,1845.6,0,4518,12,2.5221713488264554,0.006698994286391648,0.99734395750332,0.8501549358123063,542.3195937970689,602.5182412919967,604.8901869563458,605.2664827518419,615.9973007488778,645.9951496249996,0.3003634971997003,270.8310619436801,546.6055552971742,0.021059852456153615,0.005884609555178839,0.0,0.7701695840154472,CONNECTION_POOL_BOUND,True
repl-D2-n4-x0.5,fixed_replicas,D2,25.284,open,,4,115.35,0,27538,27536,114.6837299241144,114.67540079854797,7.262691553489724e-05,0.0,0.010783030166172899,0.009251436989870854,0.019334531261119982,0.02599481081706475,0.05057634987260147,5.0115001250233036,3.9797153103473066,0.015703531360486515,4822397.4369558785,0.5213328698111666,0.15204151729839335,13782.40375189987,0.6984443930121614,CONNECTION_POOL_BOUND,False
repl-D2-n4-x1.0,fixed_replicas,D2,25.284,open,,4,230.7,0,55049,55049,229.24898668120795,229.24898668120795,0.0,0.0,0.009382972536560927,0.008252750005340204,0.01726257519912906,0.02328230200684627,0.04557233203365616,0.2946409999858588,0.5242649771075861,0.013847558398265389,9706622.466454707,1.0423373559418032,0.27192960570005065,20721.751701277164,0.7006960354418529,DATABASE_IO_BOUND,False
repl-D2-n4-x2.0,fixed_replicas,D2,25.284,open,,4,461.4,0,32547,32547,119.9951820926109,119.9951820926109,0.0,0.0,31.499212351466145,22.617276707984274,93.28324555441503,140.08151150317633,207.00006829370196,262.0721207499737,0.9826916988128577,93.02663596239863,5025504.88965157,0.5711402107097464,0.15200887418727843,463.28581106602167,0.6994143993303832,DATABASE_IO_BOUND,True
