key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,workers,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
wsweep-w1-n4-D1-c16-r1,worker_sweep,D1,2.058,closed,csv,16,4,1,,1,15448,15448,342.8748856190427,342.8748856190427,0.0,0.0,0.046588480963848204,0.04094932950101793,0.08416439399588853,0.1140743458084764,0.1770263727079183,0.22144955210387707,0.4407471181973205,0.07247152854688466,10423397.943325933,3.925061463712293,0.5373197659290224,0.0,0.999997136277741,TAP_CPU_BOUND,False
wsweep-w1-n4-D1-c32-r0,worker_sweep,D1,2.058,closed,csv,32,4,1,,0,14922,14922,331.10461757526156,331.10461757526156,0.0,0.0,0.09651800900068089,0.09124324982985854,0.1558982273796573,0.20675051543395934,0.2543761266679558,0.32373547181487083,0.32198382374261764,0.12707079127430912,10204753.084265685,4.140510256697427,0.5520616116045842,0.0,0.9999985281222483,TAP_CPU_BOUND,False
wsweep-w1-n4-D1-c32-r1,worker_sweep,D1,2.058,closed,csv,32,4,1,,1,14919,14919,330.61717341719384,330.61717341719384,0.0,0.0,0.09657496860838502,0.08296420890837908,0.1895499128848314,0.2564434488862753,0.3136486118091304,0.4500989941880107,0.5616567047537601,0.16749502345919606,10011905.789404517,4.081308602419677,0.5373870470838722,0.0,0.9999985000879323,TAP_CPU_BOUND,False
wsweep-w1-n8-D1-c1-r0,worker_sweep,D1,2.058,closed,csv,1,8,1,,0,3775,3775,83.8745886258974,83.8745886258974,0.0,0.0,0.011892099530491609,0.01099626300856471,0.023156502936035342,0.0277187675796449,0.0317862110994758,0.1215106719173491,0.379646599027027,0.015153746912255883,2514629.5107371463,0.7685357107242763,0.12716513321982156,0.0,1.0,UNKNOWN,False
wsweep-w1-n8-D1-c1-r1,worker_sweep,D1,2.058,closed,csv,1,8,1,,1,3859,3859,85.73671737561605,85.73671737561605,0.0,0.0,0.011633891404258152,0.01077179191634059,0.0227169323246926,0.027323285182937983,0.030512169577181395,0.1278933440335095,0.3897730209153195,0.01492675500921905,2558748.2996996515,0.7827684224857394,0.11989582212205908,0.0,1.0,UNKNOWN,False
wsweep-w1-n8-D1-c2-r0,worker_sweep,D1,2.058,closed,csv,2,8,1,,0,7289,7289,161.9404311334484,161.9404311334484,0.0,0.0,0.01231694035404558,0.01134994812309742,0.024078585673123553,0.02876778237521648,0.0321808286495507,0.12330510979518294,0.38028963748712374,0.015745791606605053,4992801.761842762,1.49353335791741,0.24346394069333063,0.0,1.0,UNKNOWN,False
wsweep-w1-n8-D1-c2-r1,worker_sweep,D1,2.058,closed,csv,2,8,1,,1,7528,7528,167.26878671704873,167.26878671704873,0.0,0.0,0.011924241727869265,0.011071386048570275,0.020346518396399886,0.027798260133713483,0.03237509705871346,0.1280613811686635,0.3783172553978611,0.015221238578669727,4867761.509089795,1.5352908834472476,0.23972214906537379,0.0,1.0,UNKNOWN,False
wsweep-w1-n8-D1-c4-r0,worker_sweep,D1,2.058,closed,csv,4,8,1,,0,13633,13633,302.78551674499835,302.78551674499835,0.0,0.0,0.01317009180198776,0.012193390168249607,0.025029440037906164,0.030303655676543733,0.034137137930840326,0.15234015276655555,0.3836288007904743,0.016667473036795853,9359515.35617929,2.998252669043059,0.4567673734761803,0.0,1.0,UNKNOWN,False
wsweep-w1-n8-D1-c4-r1,worker_sweep,D1,2.058,closed,csv,4,8,1,,1,10955,10955,243.36063274886905,243.36063274886905,0.0,0.0,0.01639438795350026,0.014248806983232498,0.029536647116765374,0.03967105692252503,0.0520139233833182,0.14015127485617995,0.45577413220248314,0.02471946347504854,7210475.984849892,2.423320713924498,0.37298438074324813,0.0,1.0,UNKNOWN,False
wsweep-w1-n8-D1-c8-r0,worker_sweep,D1,2.058,closed,csv,8,8,1,,0,17065,17065,379.04856898672466,379.04856898672466,0.0,0.0,0.02106124283090985,0.017305903136730194,0.04156953478232026,0.05703357327729473,0.08128663190454323,0.17364268889650702,0.5399940113169741,0.036072445102036,11669989.125557953,4.056851370717401,0.5873259696355805,0.0,0.9999993488423883,UNKNOWN,False
wsweep-w1-n8-D1-c8-r1,worker_sweep,D1,2.058,closed,csv,8,8,1,,1,14371,14371,319.1847948506417,319.1847948506417,0.0,0.0,0.025017390037913954,0.019593466073274612,0.054534847382456064,0.07335947440005838,0.1439259742759178,0.18166685104370117,0.6410595243393585,0.047839437145739794,9573277.991062284,3.395534710085349,0.4835100295776782,0.0,0.9999984532377022,UNKNOWN,False
wsweep-w1-n8-D1-c16-r0,worker_sweep,D1,2.058,closed,csv,16,8,1,,0,22390,22390,497.13016908455955,497.13016908455955,0.0,0.0,0.03212942482696454,0.0201022585388273,0.08204679589252917,0.11229106012266131,0.17281972024776102,0.24800017196685076,0.7875970888783329,0.07190883613657206,15095150.428179512,5.658681801659149,0.7872602052175469,0.0,0.999999002357927,UNKNOWN,False
wsweep-w1-n8-D1-c16-r1,worker_sweep,D1,2.058,closed,csv,16,8,1,,1,23106,23106,512.9161200752144,512.9161200752144,0.0,0.0,0.0311317141121467,0.027853940846398473,0.06287569343112409,0.08167651749681683,0.1611214130348585,0.2043079431168735,0.5817569652406227,0.05425256630405784,15299547.389974115,5.805460324599585,0.8130789779771778,0.0,0.9999985470181301,UNKNOWN,False
wsweep-w1-n8-D1-c32-r0,worker_sweep,D1,2.058,closed,csv,32,8,1,,0,25884,25884,574.0673841537471,574.0673841537471,0.0,0.0,0.055615839033904,0.04994172346778214,0.1166047545848414,0.16344200300518416,0.24244967290805877,0.4499456067569554,0.596841350017645,0.09951254350598901,17528526.8886174,7.133360030097302,0.9621345242663982,0.0,1.0,TAP_CPU_BOUND,False
